Metric ID,Sector,Industry,Metric Name,Metric Description,Quantitative / Qualitative,Unit,Topic,Topic Description,Primitive Bindings,Outcome Node Bindings,Binding Notes
EM-RM-110a.2,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,"Discussion of long- and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets","Discussion of long- and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets",Discussion and Analysis,,Greenhouse Gas Emissions,"Refining & Marketing (R&M) operations generate significant direct greenhouse gas (GHG) emissions from a variety of sources. Emissions primarily consist of carbon dioxide and methane from stationary fossil fuel combustion for energy supply. Energy costs are a significant share of refinery operating costs. GHGs also are released from process emissions, fugitive emissions resulting from leaks, emissions from venting and flaring, and from non-routine events such as equipment maintenance. The energy intensity of production, and therefore the GHG emissions intensity, can vary significantly depending on the type of crude oil feedstock used and refined product specifications. Entities that cost-effectively reduce GHG emissions from their operations may capture operational efficiencies. Such reductions also may mitigate the effects of increased fuel costs from regulations that limit?or put a price on?GHG emissions.","EP, GE",E:CarbonLiability,Scope 1 emissions strategy depth and target ambition shape refinery carbon regulatory compliance and transition risk
EM-RM-120a.1,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,"Air emissions of the following pollutants:
(1) NOx (excluding N2O), (2) SOx,
(3) particulate matter (PM10), (4) H2S, and
(5) volatile organic compounds (VOCs)","Air emissions of the following pollutants:
(1) NOx (excluding N2O), (2) SOx,
(3) particulate matter (PM10), (4) H2S, and
(5) volatile organic compounds (VOCs)",Quantitative,Metric tonnes (t),Air Quality,"Non-greenhouse gas (GHG) air emissions from Refining & Marketing (R&M) operations include air pollutants, which can create significant and localised environmental or health risks. Specific emissions of concern include sulphur dioxide, nitrogen oxides, hydrogen sulphide, particulate matter and VOCs. Releases occur from stationary combustion sources, storage vessels, flares and equipment leaks, and may also occur because of accidents. Human health impacts and financial consequences may be exacerbated the closer a facility is to population centres. Active management of the issue?through technological and process improvements?may allow entities to mitigate the effect of regulations and benefit from operational efficiencies that could result in reduced costs.","CL, GE","E:RegulatoryFine, S:PublicHealthBurden","NOx, SOx, PM10, H2S and VOC emissions from refineries signal air quality compliance and public health burden"
EM-RM-120a.2,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Number of refineries in or near areas of dense population,Number of refineries in or near areas of dense population,Quantitative,Number,Air Quality,"Non-greenhouse gas (GHG) air emissions from Refining & Marketing (R&M) operations include air pollutants, which can create significant and localised environmental or health risks. Specific emissions of concern include sulphur dioxide, nitrogen oxides, hydrogen sulphide, particulate matter and VOCs. Releases occur from stationary combustion sources, storage vessels, flares and equipment leaks, and may also occur because of accidents. Human health impacts and financial consequences may be exacerbated the closer a facility is to population centres. Active management of the issue?through technological and process improvements?may allow entities to mitigate the effect of regulations and benefit from operational efficiencies that could result in reduced costs.","CL, GE",S:PublicHealthBurden,Refinery count near dense population centres signals community health exposure concentration risk
EM-RM-140a.1,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,"(1) Total water withdrawn, (2) total water consumed; percentage of each in regions with High or Extremely High Baseline Water Stress","(1) Total water withdrawn, (2) total water consumed; percentage of each in regions with High or Extremely High Baseline Water Stress",Quantitative,"Thousand cubic metres (m?), Percentage (%)",Water Management,"Refineries can use large quantities of water depending on their size and refining process complexity. This water use exposes them to the risk of water scarcity, depending on their location, and related costs. Extraction of water from water-stressed regions or water contamination also may create tensions with local communities. Refinery operations require wastewater treatment and disposal, often via on-site wastewater treatment plants before discharge. Reducing water use and contamination through recycling and other water management strategies may permit entities to capture operational efficiencies and reduce operating costs. They also could minimise regulatory, water supply shortages and community-related disruptions on operations.","WA, XW",S:WaterScarcity,Water withdrawal and stressed-region exposure quantify refinery operational water continuity and scarcity risk
EM-RM-140a.2,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations","Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Quantitative,Number,Water Management,"Refineries can use large quantities of water depending on their size and refining process complexity. This water use exposes them to the risk of water scarcity, depending on their location, and related costs. Extraction of water from water-stressed regions or water contamination also may create tensions with local communities. Refinery operations require wastewater treatment and disposal, often via on-site wastewater treatment plants before discharge. Reducing water use and contamination through recycling and other water management strategies may permit entities to capture operational efficiencies and reduce operating costs. They also could minimise regulatory, water supply shortages and community-related disruptions on operations.","CL, WA",E:RegulatoryFine,Water quality non-compliance incident count signals environmental regulatory fine exposure in refining operations
EM-RM-150a.1,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,"(1) Amount of hazardous waste generated, (2) percentage recycled","(1) Amount of hazardous waste generated, (2) percentage recycled",Quantitative,"Metric tonnes (t), Percentage (%)",Hazardous Materials Management,"As a by-product of their operations, Refining & Marketing (R&M) entities generate various forms of waste derived from the processing of petroleum products. Many of these substances are hazardous to human health and the environment and may be subject to regulation. Remediation of inactive or decommissioned sites may take many years to complete, and entities may accrue liabilities for past operations. Hazardous substance releases from underground storage tanks (USTs) used by refining facilities and gas stations can affect land redevelopment for abandoned or closed facilities. Spills and releases during operations can result in groundwater contamination and other negative impacts. R&M entities that reduce and recycle hazardous waste streams, as well as those that have effective and prompt clean-up and remediation measures in place for normal operations and decommissioned facilities, may reduce regulatory and litigation risks and associated costs.","CL, WS",E:RegulatoryFine,Hazardous waste generation and recycling rate signals refinery waste management compliance and regulatory fine exposure
EM-RM-150a.2,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,"(1) Number of underground storage tanks (USTs), (2) number of UST releases requiring clean up, and (3) percentage in jurisdictions with UST financial assurance funds","(1) Number of underground storage tanks (USTs), (2) number of UST releases requiring clean up, and (3) percentage in jurisdictions with UST financial assurance funds",Quantitative,"Number, Percentage (%)",Hazardous Materials Management,"As a by-product of their operations, Refining & Marketing (R&M) entities generate various forms of waste derived from the processing of petroleum products. Many of these substances are hazardous to human health and the environment and may be subject to regulation. Remediation of inactive or decommissioned sites may take many years to complete, and entities may accrue liabilities for past operations. Hazardous substance releases from underground storage tanks (USTs) used by refining facilities and gas stations can affect land redevelopment for abandoned or closed facilities. Spills and releases during operations can result in groundwater contamination and other negative impacts. R&M entities that reduce and recycle hazardous waste streams, as well as those that have effective and prompt clean-up and remediation measures in place for normal operations and decommissioned facilities, may reduce regulatory and litigation risks and associated costs.","CL, HS","E:RegulatoryFine, S:CommunityVulnerability","UST inventory, release count and financial assurance coverage signal groundwater contamination regulatory/community risk"
EM-RM-320a.1,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,"(1) Total recordable incident rate (TRIR),
(2) fatality rate, and (3) near miss frequency rate (NMFR) for (a) direct employees and (b) contract employees","(1) Total recordable incident rate (TRIR),
(2) fatality rate, and (3) near miss frequency rate (NMFR) for (a) direct employees and (b) contract employees",Quantitative,Rate,Workforce Health & Safety,"Workers in the Oil & Gas ? Services industry may face significant health and safety risks related to the harsh working environments and handling potentially volatile hydrocarbons and hazardous wastes. In addition to acute impacts resulting from accidents, workers may develop chronic health conditions, such as those caused by silica or dust inhalation, as well as mental health problems. A significant proportion of the workforce at oil and gas drilling sites consists of temporary workers and employees of entities in the Oil & Gas ? Services industry. Health impacts on, and the safety performance of, such workers can affect entities directly by adversely affecting worker productivity and increasing costs. Entities compete based on their reputation and ability to perform activities consistently and safely. Customers evaluate accidents, spills, injuries and fatalities as important factors in awarding contracts to entities.","HS, WF",S:WorkerWelfare,"TRIR, fatality rate and NMFR for direct and contract refinery workers measure safety culture and workforce welfare"
EM-RM-320a.2,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Discussion of management systems used to integrate a culture of safety,Discussion of management systems used to integrate a culture of safety,Discussion and Analysis,,Workforce Health & Safety,"Workers in the Oil & Gas ? Services industry may face significant health and safety risks related to the harsh working environments and handling potentially volatile hydrocarbons and hazardous wastes. In addition to acute impacts resulting from accidents, workers may develop chronic health conditions, such as those caused by silica or dust inhalation, as well as mental health problems. A significant proportion of the workforce at oil and gas drilling sites consists of temporary workers and employees of entities in the Oil & Gas ? Services industry. Health impacts on, and the safety performance of, such workers can affect entities directly by adversely affecting worker productivity and increasing costs. Entities compete based on their reputation and ability to perform activities consistently and safely. Customers evaluate accidents, spills, injuries and fatalities as important factors in awarding contracts to entities.",HS,S:WorkerWelfare,Safety culture management systems integration signals refinery safety governance depth and worker welfare commitment
EM-RM-410a.2,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Total addressable market and share of market for advanced biofuels and associated infrastructure,Total addressable market and share of market for advanced biofuels and associated infrastructure,Quantitative,"Presentation currency, Percentage (%)",Product Specifications & Clean Fuel Blends,"Some regulatory jurisdictions have implemented product specifications and renewable fuel blends, which pose significant compliance and operational risks for Refining & Marketing (R&M) entities. Entities may face long-term reductions in revenue from fossil fuel-based products and services because of GHG mitigation policies such as renewable fuel mandates or standards, as well as competition from non-fossil fuel products. To ensure regulatory compliance and position themselves for long-term competitiveness, some entities are investing in clean fuel production or purchasing ethanol and other renewable biofuels. Advanced biofuels and fuel technologies have lower lifecycle impacts than traditional biofuels, and they can be used to minimise future regulatory risks and public pressure. Although short-term costs to find commercially viable technologies can be significant, investments in R&D for such technologies could serve to support R&M entities? long-term profitability.","CM, RV","E:CarbonLiability, R:BrandEquity",Advanced biofuels TAM and market share signal clean fuel transition progress and carbon liability/brand positioning
EM-RM-410a.3,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,"Volumes of renewable fuels for fuel blending: (1) net amount produced, (2) net amount purchased","Volumes of renewable fuels for fuel blending: (1) net amount produced, (2) net amount purchased",Quantitative,Barrels of oil equivalent (BOE),Product Specifications & Clean Fuel Blends,"Some regulatory jurisdictions have implemented product specifications and renewable fuel blends, which pose significant compliance and operational risks for Refining & Marketing (R&M) entities. Entities may face long-term reductions in revenue from fossil fuel-based products and services because of GHG mitigation policies such as renewable fuel mandates or standards, as well as competition from non-fossil fuel products. To ensure regulatory compliance and position themselves for long-term competitiveness, some entities are investing in clean fuel production or purchasing ethanol and other renewable biofuels. Advanced biofuels and fuel technologies have lower lifecycle impacts than traditional biofuels, and they can be used to minimise future regulatory risks and public pressure. Although short-term costs to find commercially viable technologies can be significant, investments in R&D for such technologies could serve to support R&M entities? long-term profitability.","CM, RV",E:CarbonLiability,Renewable fuel volumes produced and purchased for blending signal carbon compliance posture and transition progress
EM-RM-520a.1,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Total amount of monetary losses as a result of legal proceedings associated with price fixing or price manipulation 1,"Total amount of monetary losses as a result of legal proceedings associated with price fixing or price manipulation 1 ? The entity shall briefly describe the nature, context and any corrective actions taken because of monetary losses.",Quantitative,Presentation currency,Pricing Integrity & Transparency,"Regulators are responsible for overseeing issues related to pricing integrity and transparency, which includes the potential for market manipulation by oil and gas entities, including Refining & Marketing (R&M) entities. Regulatory agencies focusing on refineries may investigate various competitive factors, including capacity utilisation and refinery maintenance decisions, product supply decisions, product margins, and capital planning, creating uncertainty regarding future enforcement. The focus of enforcement actions also may include prices reported to price index publishers, as well as potential price distortions through trading positions in physical transactions, and through swaps, futures and derivatives. Maintaining market integrity and ensuring transparency in product pricing can therefore reduce regulatory risks and liabilities for R&M entities and protect consumers from unfair pricing.","CL, RG",E:RegulatoryFine,Monetary losses from price fixing or manipulation proceedings crystallise regulatory fine and compliance cost exposure
EM-RM-530a.1,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Discussion of corporate positions related to government regulations or policy proposals that address environmental and social factors affecting the industry,Discussion of corporate positions related to government regulations or policy proposals that address environmental and social factors affecting the industry,Discussion and Analysis,,Management of the Legal & Regulatory Environment,"The Oil & Gas ? Services industry is subject to numerous sustainability-related regulations and a rapidly changing regulatory environment. Entities in the industry regularly participate in the regulatory and legislative process on a wide variety of environmental and societal issues, and they may do so directly or through representation by an industry association. Entities may participate in these processes to ensure industry views are represented in the development of regulations affecting the industry, as well as to represent shareholder interests. However, such attempts to influence environmental laws and regulations may have an adverse effect on entities? reputations with stakeholders and ultimately affect the entity?s social licence to operate. Entities that can balance these tensions may be better positioned to respond to medium-to-long-term regulatory developments.","CL, RG",R:LicenceToOperate,Corporate positions on environmental and social regulations signal policy risk posture and licence-to-operate exposure
EM-RM-540a.1,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Process Safety Event (PSE) rates for Loss of Primary Containment (LOPC) of greater consequence (Tier 1) and lesser consequence (Tier 2),Process Safety Event (PSE) rates for Loss of Primary Containment (LOPC) of greater consequence (Tier 1) and lesser consequence (Tier 2),Quantitative,Rate,Critical Incident Risk Management,"Entities in the Oil & Gas ? Services industry are subject to significant risks associated with low-probability, high- consequence events associated with oil and gas exploration, development and production activities. Such events may result in multiple fatalities, significant property damage or significant adverse effects on the environment. Entities may be affected indirectly through safety incidents or emergencies affecting their Exploration & Production (E&P) industry clients. Significant incidents can have wide-ranging negative social and environmental consequences, for which both E&P and Services entities may be held liable. Entities compete based on their reputation and ability to perform activities on a consistently safe basis. In addition to effective process safety management practices, many entities prioritise developing a strong culture of safety to reduce the probability of accidents and other health and safety incidents. If accidents and other emergencies do occur, entities with a strong safety culture are often able to detect and respond to such incidents more effectively. A culture that engages and empowers employees and contractors to work with management and entities in the E&P industry to safeguard their own health, safety and well-being, and to prevent accidents, is likely to help entities reduce risks to their financial value.","CL, HS","E:RegulatoryFine, O:MaintenanceBacklog",Tier 1 and Tier 2 PSE (LOPC) rates signal refinery process safety integrity and maintenance backlog/regulatory fine exposure
EM-RM-540a.2,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Challenges to Safety Systems indicator rate (Tier 3),Challenges to Safety Systems indicator rate (Tier 3),Quantitative,Rate,Critical Incident Risk Management,"Entities in the Oil & Gas ? Services industry are subject to significant risks associated with low-probability, high- consequence events associated with oil and gas exploration, development and production activities. Such events may result in multiple fatalities, significant property damage or significant adverse effects on the environment. Entities may be affected indirectly through safety incidents or emergencies affecting their Exploration & Production (E&P) industry clients. Significant incidents can have wide-ranging negative social and environmental consequences, for which both E&P and Services entities may be held liable. Entities compete based on their reputation and ability to perform activities on a consistently safe basis. In addition to effective process safety management practices, many entities prioritise developing a strong culture of safety to reduce the probability of accidents and other health and safety incidents. If accidents and other emergencies do occur, entities with a strong safety culture are often able to detect and respond to such incidents more effectively. A culture that engages and empowers employees and contractors to work with management and entities in the E&P industry to safeguard their own health, safety and well-being, and to prevent accidents, is likely to help entities reduce risks to their financial value.","CL, HS",O:MaintenanceBacklog,Tier 3 safety system challenge rate signals early-warning process safety performance and maintenance backlog risk
EM-RM-540a.3,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Discussion of measurement of Operating Discipline and Management System Performance through Tier 4 Indicators,Discussion of measurement of Operating Discipline and Management System Performance through Tier 4 Indicators,Discussion and Analysis,,Critical Incident Risk Management,"Entities in the Oil & Gas ? Services industry are subject to significant risks associated with low-probability, high- consequence events associated with oil and gas exploration, development and production activities. Such events may result in multiple fatalities, significant property damage or significant adverse effects on the environment. Entities may be affected indirectly through safety incidents or emergencies affecting their Exploration & Production (E&P) industry clients. Significant incidents can have wide-ranging negative social and environmental consequences, for which both E&P and Services entities may be held liable. Entities compete based on their reputation and ability to perform activities on a consistently safe basis. In addition to effective process safety management practices, many entities prioritise developing a strong culture of safety to reduce the probability of accidents and other health and safety incidents. If accidents and other emergencies do occur, entities with a strong safety culture are often able to detect and respond to such incidents more effectively. A culture that engages and empowers employees and contractors to work with management and entities in the E&P industry to safeguard their own health, safety and well-being, and to prevent accidents, is likely to help entities reduce risks to their financial value.","CL, HS",O:MaintenanceBacklog,Tier 4 operational discipline and management system performance indicators signal systemic safety governance quality
EM-RM-000.A,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Refining throughput of crude oil and other feedstocks2,Refining throughput of crude oil and other feedstocks2,Quantitative,Barrels of oil equivalent (BOE),Refining throughput of crude oil and other feedstocks2,,RV,O:CapacityUtilisation,Activity metric: crude and feedstock refining throughput scales capacity utilisation and carbon/energy intensity denominators
EM-RM-000.B,Extractives & Minerals Processing,Oil & Gas ? Refining & Marketing,Refining operating capacity3,Refining operating capacity3,Quantitative,Million barrels per calendar day (MBPD),Refining operating capacity3,,RV,O:CapacityUtilisation,Activity metric: refining operating capacity in MBPD anchors capacity utilisation and throughput efficiency metrics
EM-SV-110a.1,Extractives & Minerals Processing,Oil & Gas ? Services,"Total fuel consumed, percentage renewable, percentage used in: (1) on- road equipment and vehicles and (2) off- road equipment","Total fuel consumed, percentage renewable, percentage used in: (1) on- road equipment and vehicles and (2) off- road equipment",Quantitative,"Gigajoules (GJ),
Percentage (%)",Emissions Reduction Services & Fuels Management,"Although direct greenhouse gas (GHG) emissions and associated regulatory risks are relatively low for Oil & Gas - Services providers relative to other industries, emissions from the operations of their customers?the Exploration & Production (E&P) entities?can be significant. Emissions include GHGs that can contribute to climate change as well as other air pollutants that can have significant localised human health and environmental impacts. Increasing regulation and high costs of fuels associated with these emissions present substantial risk to E&P entities. Entities are seeking ways to lower their emissions, including converting pumps and engines to run on natural gas and electricity instead of diesel fuel. Oil & Gas - Services entities compete for contracts partly based on providing innovative, efficient technologies that can help E&P entities reduce operating costs and improve process efficiencies. Services entities can gain a competitive advantage, grow revenue and secure market share by providing customers with services and equipment to reduce GHG, fugitive and flared emissions and fuel consumption.","EU, GE",E:CarbonLiability,"Oilfield services fuel consumption, renewable share and on/off-road split signal energy efficiency and carbon liability posture"
EM-SV-110a.2,Extractives & Minerals Processing,Oil & Gas ? Services,"Discussion of strategy or plans to address air emissions-related risks, opportunities and impacts","Discussion of strategy or plans to address air emissions-related risks, opportunities and impacts",Discussion and Analysis,,Emissions Reduction Services & Fuels Management,"Although direct greenhouse gas (GHG) emissions and associated regulatory risks are relatively low for Oil & Gas - Services providers relative to other industries, emissions from the operations of their customers?the Exploration & Production (E&P) entities?can be significant. Emissions include GHGs that can contribute to climate change as well as other air pollutants that can have significant localised human health and environmental impacts. Increasing regulation and high costs of fuels associated with these emissions present substantial risk to E&P entities. Entities are seeking ways to lower their emissions, including converting pumps and engines to run on natural gas and electricity instead of diesel fuel. Oil & Gas - Services entities compete for contracts partly based on providing innovative, efficient technologies that can help E&P entities reduce operating costs and improve process efficiencies. Services entities can gain a competitive advantage, grow revenue and secure market share by providing customers with services and equipment to reduce GHG, fugitive and flared emissions and fuel consumption.","CL, GE",E:CarbonLiability,"Air emissions risk, opportunity and impact strategy signals O&G services carbon transition readiness"
EM-SV-110a.3,Extractives & Minerals Processing,Oil & Gas ? Services,Percentage of engines in service that comply with the highest level of emissions standards for non-road diesel engine emissions,Percentage of engines in service that comply with the highest level of emissions standards for non-road diesel engine emissions,Quantitative,Percentage (%),Emissions Reduction Services & Fuels Management,"Although direct greenhouse gas (GHG) emissions and associated regulatory risks are relatively low for Oil & Gas - Services providers relative to other industries, emissions from the operations of their customers?the Exploration & Production (E&P) entities?can be significant. Emissions include GHGs that can contribute to climate change as well as other air pollutants that can have significant localised human health and environmental impacts. Increasing regulation and high costs of fuels associated with these emissions present substantial risk to E&P entities. Entities are seeking ways to lower their emissions, including converting pumps and engines to run on natural gas and electricity instead of diesel fuel. Oil & Gas - Services entities compete for contracts partly based on providing innovative, efficient technologies that can help E&P entities reduce operating costs and improve process efficiencies. Services entities can gain a competitive advantage, grow revenue and secure market share by providing customers with services and equipment to reduce GHG, fugitive and flared emissions and fuel consumption.","CL, GE",E:RegulatoryFine,Engine compliance with highest non-road diesel emission standards signals regulatory fine risk reduction in O&G services
EM-SV-140a.1,Extractives & Minerals Processing,Oil & Gas ? Services,"(1) Total volume of water handled in operations, (2) percentage recycled","(1) Total volume of water handled in operations, (2) percentage recycled",Quantitative,"Thousand cubic metres (m?), Percentage (%)",Water Management Services,"Oil and gas development often requires large quantities of water, exposing producers to the risks of water scarcity, water use regulations and related cost increases, particularly in water-stressed regions. Producers also must manage wastewater disposal risks and costs. As such, service entities that develop superior technologies and processes, such as closed-loop water recycling systems to reduce customers? water consumption and disposal costs, may gain market share and increase revenue, because drilling and wastewater management can be a significant competitive factor for their customers.","WA, XW",S:WaterScarcity,Total water handled and recycling share in O&G services signal water efficiency and client water scarcity risk management
EM-SV-140a.2,Extractives & Minerals Processing,Oil & Gas ? Services,"Discussion of strategy or plans to address water consumption and disposal-related risks, opportunities and impacts","Discussion of strategy or plans to address water consumption and disposal-related risks, opportunities and impacts",Discussion and Analysis,,Water Management Services,"Oil and gas development often requires large quantities of water, exposing producers to the risks of water scarcity, water use regulations and related cost increases, particularly in water-stressed regions. Producers also must manage wastewater disposal risks and costs. As such, service entities that develop superior technologies and processes, such as closed-loop water recycling systems to reduce customers? water consumption and disposal costs, may gain market share and increase revenue, because drilling and wastewater management can be a significant competitive factor for their customers.","CL, WA",S:WaterScarcity,Water consumption and disposal risk strategy signals O&G services commitment to client water continuity and scarcity risk
EM-SV-150a.1,Extractives & Minerals Processing,Oil & Gas ? Services,"(1) Volume of hydraulic fracturing fluid used, (2) percentage hazardous","(1) Volume of hydraulic fracturing fluid used, (2) percentage hazardous",Quantitative,"Thousand cubic metres (m?), Percentage (%)",Chemicals Management,"Oil & Gas ? Services entities produce oilfield chemicals as well as drilling and hydraulic fracturing fluids based on demand from Exploration & Production (E&P) entities. Although leaks from a properly drilled and completed well are rare, contamination of local water resources can result from contact with hydraulic fracturing fluids and produced water. Contamination may arise from issues related to poor well integrity. Public concerns about some chemicals used in hydraulic fracturing fluids have, in some regions, resulted in fracturing bans, legislative proposals and other regulations to mandate disclosure of chemicals used. The precise chemical composition of hydraulic fracturing fluids is often proprietary, and entities compete to create the most effective formulas. Because of public and regulatory attention to the potential hazards of drilling fluids, entities that effectively manage well development and asset integrity issues, the production and use of non-hazardous fracking fluids, and the per well reduction of drilling fluid volumes, may increase their market share, grow revenues and reduce the regulatory risk affecting their products.","CL, WA","E:RegulatoryFine, S:CommunityVulnerability",Hydraulic fracturing fluid volume and hazardous share signal chemical contamination regulatory and community risk
EM-SV-150a.2,Extractives & Minerals Processing,Oil & Gas ? Services,"Discussion of strategy or plans to address chemical-related risks, opportunities, and impacts","Discussion of strategy or plans to address chemical-related risks, opportunities, and impacts",Discussion and Analysis,,Chemicals Management,"Oil & Gas ? Services entities produce oilfield chemicals as well as drilling and hydraulic fracturing fluids based on demand from Exploration & Production (E&P) entities. Although leaks from a properly drilled and completed well are rare, contamination of local water resources can result from contact with hydraulic fracturing fluids and produced water. Contamination may arise from issues related to poor well integrity. Public concerns about some chemicals used in hydraulic fracturing fluids have, in some regions, resulted in fracturing bans, legislative proposals and other regulations to mandate disclosure of chemicals used. The precise chemical composition of hydraulic fracturing fluids is often proprietary, and entities compete to create the most effective formulas. Because of public and regulatory attention to the potential hazards of drilling fluids, entities that effectively manage well development and asset integrity issues, the production and use of non-hazardous fracking fluids, and the per well reduction of drilling fluid volumes, may increase their market share, grow revenues and reduce the regulatory risk affecting their products.","CL, RG",E:RegulatoryFine,Chemical risk management strategy in O&G services signals regulatory fine risk reduction through safer fracturing fluid use
EM-SV-160a.1,Extractives & Minerals Processing,Oil & Gas ? Services,Average disturbed land area per (1) oil and (2) gas well site,Average disturbed land area per (1) oil and (2) gas well site,Quantitative,Hectares (ha),Ecological Impact Management,"Oil and gas exploration and development activities and associated services and support activities can have significant impacts on biodiversity and ecosystems. Entities operating sites in ecologically sensitive areas or that are resource- intensive operations must effectively manage the disposal of drilling and associated wastes, well decommissioning, land use, and potential fuel spills. Producers face regulatory risks and permitting barriers to protect ecosystems from potential issues related to site development, drilling, underground waste injection, well decommissioning and site remediation. Entities that offer cost-effective, efficient production and decommissioning technologies that mitigate biodiversity impacts by reducing land use, drilling wastes and spills can decrease the associated risks for their customers and gain a competitive advantage.","CL, GE",E:BiodiversityImpact,Average land disturbed per oil and gas well site signals ecosystem footprint intensity and biodiversity impact exposure
EM-SV-160a.2,Extractives & Minerals Processing,Oil & Gas ? Services,Discussion of strategy or plan to address risks and opportunities related to ecological impacts from core activities,Discussion of strategy or plan to address risks and opportunities related to ecological impacts from core activities,Discussion and Analysis,,Ecological Impact Management,"Oil and gas exploration and development activities and associated services and support activities can have significant impacts on biodiversity and ecosystems. Entities operating sites in ecologically sensitive areas or that are resource- intensive operations must effectively manage the disposal of drilling and associated wastes, well decommissioning, land use, and potential fuel spills. Producers face regulatory risks and permitting barriers to protect ecosystems from potential issues related to site development, drilling, underground waste injection, well decommissioning and site remediation. Entities that offer cost-effective, efficient production and decommissioning technologies that mitigate biodiversity impacts by reducing land use, drilling wastes and spills can decrease the associated risks for their customers and gain a competitive advantage.","CL, GE","E:BiodiversityImpact, R:LicenceToOperate",Ecological impact risk and opportunity strategy signals O&G services biodiversity stewardship and licence-to-operate quality
EM-SV-320a.1,Extractives & Minerals Processing,Oil & Gas ? Services,"(1) Total recordable incident rate (TRIR),
(2) fatality rate, (3) near miss frequency rate (NMFR), and (4) average hours of health, safety, and emergency response training for (a) direct employees, and (b) contract employees","(1) Total recordable incident rate (TRIR),
(2) fatality rate, (3) near miss frequency rate (NMFR), and (4) average hours of health, safety, and emergency response training for (a) direct employees, and (b) contract employees",Quantitative,Rate,Workforce Health & Safety,"Workers in the Oil & Gas ? Services industry may face significant health and safety risks related to the harsh working environments and handling potentially volatile hydrocarbons and hazardous wastes. In addition to acute impacts resulting from accidents, workers may develop chronic health conditions, such as those caused by silica or dust inhalation, as well as mental health problems. A significant proportion of the workforce at oil and gas drilling sites consists of temporary workers and employees of entities in the Oil & Gas ? Services industry. Health impacts on, and the safety performance of, such workers can affect entities directly by adversely affecting worker productivity and increasing costs. Entities compete based on their reputation and ability to perform activities consistently and safely. Customers evaluate accidents, spills, injuries and fatalities as important factors in awarding contracts to entities.","HS, WF",S:WorkerWelfare,"TRIR, fatality rate, NMFR and safety training hours for O&G services workers measure safety culture and workforce welfare"
EM-SV-320a.2,Extractives & Minerals Processing,Oil & Gas ? Services,Description of management systems used to integrate a culture of safety throughout the value chain and project lifecycle,Description of management systems used to integrate a culture of safety throughout the value chain and project lifecycle,Discussion and Analysis,,Workforce Health & Safety,"Workers in the Oil & Gas ? Services industry may face significant health and safety risks related to the harsh working environments and handling potentially volatile hydrocarbons and hazardous wastes. In addition to acute impacts resulting from accidents, workers may develop chronic health conditions, such as those caused by silica or dust inhalation, as well as mental health problems. A significant proportion of the workforce at oil and gas drilling sites consists of temporary workers and employees of entities in the Oil & Gas ? Services industry. Health impacts on, and the safety performance of, such workers can affect entities directly by adversely affecting worker productivity and increasing costs. Entities compete based on their reputation and ability to perform activities consistently and safely. Customers evaluate accidents, spills, injuries and fatalities as important factors in awarding contracts to entities.",HS,S:WorkerWelfare,Safety culture management systems integration across O&G services value chain signals worker welfare governance depth
EM-SV-320a.3,Extractives & Minerals Processing,Oil & Gas ? Services,Number of road accidents and incidents,Number of road accidents and incidents,Quantitative,Number,Workforce Health & Safety,"Workers in the Oil & Gas ? Services industry may face significant health and safety risks related to the harsh working environments and handling potentially volatile hydrocarbons and hazardous wastes. In addition to acute impacts resulting from accidents, workers may develop chronic health conditions, such as those caused by silica or dust inhalation, as well as mental health problems. A significant proportion of the workforce at oil and gas drilling sites consists of temporary workers and employees of entities in the Oil & Gas ? Services industry. Health impacts on, and the safety performance of, such workers can affect entities directly by adversely affecting worker productivity and increasing costs. Entities compete based on their reputation and ability to perform activities consistently and safely. Customers evaluate accidents, spills, injuries and fatalities as important factors in awarding contracts to entities.","HS, WF",S:WorkerWelfare,Road accident and incident count signals transport safety culture and worker welfare exposure in O&G field services
